g = [('a', -1), ('b', -1), ('a', 2), ('b', 3), ('a', 2), ('b', -1), ('a', -1), ('b', 3), ('a', -2), ('b', 3)] n=10, fixed words = 51084
g = [('b', 2), ('a', -3), ('b', -2), ('a', -1), ('b', -2), ('a', 1), ('b', -2), ('a', 2), ('b', -2), ('a', -3)] n=10, fixed words = 49005
g = [('b', -1), ('a', -3), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', 2), ('a', 2), ('b', 1), ('a', 3)] n=10, fixed words = 44271
g = [('a', -3), ('b', -1), ('a', -1), ('b', -1), ('a', 2), ('b', -1), ('a', 3), ('b', -3), ('a', 1), ('b', -2)] n=10, fixed words = 44271
g = [('a', -1), ('b', -2), ('a', -3), ('b', -3), ('a', -1), ('b', -1), ('a', 3), ('b', -2), ('a', 1), ('b', -2)] n=10, fixed words = 44271
g = [('b', 1), ('a', -1), ('b', 2), ('a', -2), ('b', -3), ('a', -3), ('b', -2), ('a', -2), ('b', 1), ('a', 3)] n=10, fixed words = 44271
g = [('a', 3), ('b', 3), ('a', 1), ('b', 1), ('a', 2), ('b', -1), ('a', -3), ('b', -1), ('a', 3), ('b', 3)] n=10, fixed words = 49167
g = [('a', -1), ('b', -1), ('a', 3), ('b', 1), ('a', 1), ('b', 2), ('a', 2), ('b', 1), ('a', -2), ('b', -2)] n=10, fixed words = 49329
g = [('b', -3), ('a', -1), ('b', 2), ('a', 1), ('b', 3), ('a', -3), ('b', 2), ('a', 2), ('b', 1), ('a', -2)] n=10, fixed words = 49302
g = [('b', -3), ('a', 2), ('b', 2), ('a', 1), ('b', -1), ('a', -2), ('b', 3), ('a', -3), ('b', -1), ('a', 2)] n=10, fixed words = 57978
g = [('b', 3), ('a', -1), ('b', 3), ('a', -1), ('b', 1), ('a', 3), ('b', -1), ('a', 3), ('b', -3), ('a', -3)] n=10, fixed words = 49302
g = [('a', 2), ('b', 1), ('a', 2), ('b', -3), ('a', -1), ('b', 1), ('a', -3), ('b', 3), ('a', 2), ('b', 2)] n=10, fixed words = 44271
g = [('b', -3), ('a', -3), ('b', 1), ('a', 2), ('b', 2), ('a', 1), ('b', 1), ('a', 1), ('b', 3), ('a', -2)] n=10, fixed words = 44271
g = [('b', -3), ('a', 1), ('b', 1), ('a', -3), ('b', 3), ('a', 3), ('b', -2), ('a', -1), ('b', -1), ('a', 3)] n=10, fixed words = 49167
g = [('b', -3), ('a', -3), ('b', 3), ('a', 1), ('b', 3), ('a', -1), ('b', 3), ('a', 3), ('b', -2), ('a', -3)] n=10, fixed words = 49302
g = [('a', 1), ('b', -1), ('a', 3), ('b', -1), ('a', 2), ('b', 3), ('a', -1), ('b', -3), ('a', -1), ('b', -2)] n=10, fixed words = 44271
g = [('b', 1), ('a', -1), ('b', 1), ('a', -1), ('b', -3), ('a', -1), ('b', -3), ('a', 2), ('b', -1), ('a', -3)] n=10, fixed words = 44271
